"","ZipCode","BreedName","city","state","latitude","longitude","borough"
"6","10001","Bull Dog, English","New York","NY",40.750742,-73.99653,"Manhattan"
"49","10001","Shih Tzu","New York","NY",40.750742,-73.99653,"Manhattan"
"92","10001","Havanese","New York","NY",40.750742,-73.99653,"Manhattan"
"135","10001","Yorkshire Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"178","10001","Yorkshire Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"221","10001","Poodle, Miniature","New York","NY",40.750742,-73.99653,"Manhattan"
"264","10001","American Eskimo dog","New York","NY",40.750742,-73.99653,"Manhattan"
"307","10001","Lhasa Apso","New York","NY",40.750742,-73.99653,"Manhattan"
"350","10001","Maltese","New York","NY",40.750742,-73.99653,"Manhattan"
"393","10001","Miniature Schnauzer","New York","NY",40.750742,-73.99653,"Manhattan"
"436","10001","Otterhound","New York","NY",40.750742,-73.99653,"Manhattan"
"479","10001","Pomeranian Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"522","10001","Australian Cattledog","New York","NY",40.750742,-73.99653,"Manhattan"
"565","10001","Unknown","New York","NY",40.750742,-73.99653,"Manhattan"
"608","10001","Chihuahua Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"651","10001","Yorkshire Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"694","10001","Unknown","New York","NY",40.750742,-73.99653,"Manhattan"
"737","10001","Unknown","New York","NY",40.750742,-73.99653,"Manhattan"
"780","10001","Unknown","New York","NY",40.750742,-73.99653,"Manhattan"
"823","10001","Boston Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"866","10001","Boston Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"909","10001","Schnauzer, Miniature","New York","NY",40.750742,-73.99653,"Manhattan"
"952","10001","Havanese","New York","NY",40.750742,-73.99653,"Manhattan"
"995","10001","Goldendoodle","New York","NY",40.750742,-73.99653,"Manhattan"
"1038","10001","Jack Russell Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"1081","10001","Boston Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"1124","10001","Pug","New York","NY",40.750742,-73.99653,"Manhattan"
"1167","10001","Jack Russell Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"1210","10001","Bull Dog, French","New York","NY",40.750742,-73.99653,"Manhattan"
"1253","10001","Maltese Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"1296","10001","Yorkshire Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"1339","10001","Cavalier King Charles Spaniel","New York","NY",40.750742,-73.99653,"Manhattan"
"1382","10001","Shar-Pei, Chinese","New York","NY",40.750742,-73.99653,"Manhattan"
"1425","10001","Shih Tzu","New York","NY",40.750742,-73.99653,"Manhattan"
"1468","10001","Cavalier King Charles Spaniel","New York","NY",40.750742,-73.99653,"Manhattan"
"1511","10001","Maltipoo","New York","NY",40.750742,-73.99653,"Manhattan"
"1554","10001","Unknown","New York","NY",40.750742,-73.99653,"Manhattan"
"1597","10001","Yorkshire Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"1640","10001","Labrador Retriever Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"1683","10001","Soft Coated Wheaten Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"1726","10001","Unknown","New York","NY",40.750742,-73.99653,"Manhattan"
"1769","10001","Chihuahua","New York","NY",40.750742,-73.99653,"Manhattan"
"1812","10001","Maltese","New York","NY",40.750742,-73.99653,"Manhattan"
"1855","10001","Shih Tzu Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"1898","10001","Terrier mix","New York","NY",40.750742,-73.99653,"Manhattan"
"1941","10001","Labradoodle","New York","NY",40.750742,-73.99653,"Manhattan"
"1984","10001","Unknown","New York","NY",40.750742,-73.99653,"Manhattan"
"2027","10001","Pomeranian Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"2070","10001","Pomeranian Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"2113","10001","Terrier mix","New York","NY",40.750742,-73.99653,"Manhattan"
"2156","10001","Havanese","New York","NY",40.750742,-73.99653,"Manhattan"
"2199","10001","Labrador Retriever Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"2242","10001","Boxer","New York","NY",40.750742,-73.99653,"Manhattan"
"2285","10001","Wheaton Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"2328","10001","Chihuahua","New York","NY",40.750742,-73.99653,"Manhattan"
"2371","10001","Pomeranian","New York","NY",40.750742,-73.99653,"Manhattan"
"2414","10001","Beagle","New York","NY",40.750742,-73.99653,"Manhattan"
"2457","10001","Unknown","New York","NY",40.750742,-73.99653,"Manhattan"
"2500","10001","Labrador Retriever Crossbreed","New York","NY",40.750742,-73.99653,"Manhattan"
"2543","10001","Welsh Corgi, Pembroke","New York","NY",40.750742,-73.99653,"Manhattan"
"2586","10001","Silky Terrier","New York","NY",40.750742,-73.99653,"Manhattan"
"2650","10002","Labrador Retriever Crossbreed","New York","NY",40.71704,-73.987,"Manhattan"
"2693","10002","Chihuahua","New York","NY",40.71704,-73.987,"Manhattan"
"2736","10002","Pug","New York","NY",40.71704,-73.987,"Manhattan"
"2779","10002","American Bully","New York","NY",40.71704,-73.987,"Manhattan"
"2822","10002","American Bully","New York","NY",40.71704,-73.987,"Manhattan"
"2865","10002","Unknown","New York","NY",40.71704,-73.987,"Manhattan"
"2908","10002","Boston Terrier","New York","NY",40.71704,-73.987,"Manhattan"
"2951","10002","Golden Retriever","New York","NY",40.71704,-73.987,"Manhattan"
"2994","10002","Bichon Frise","New York","NY",40.71704,-73.987,"Manhattan"
